,id_telegram,text,status
0,126184146,/start,done
1,126184147,Start,done
2,126184148,Media,done
3,126184149,Querying,done
4,126184150,What is a type of Italian TV Station?,done
5,126184151,No,done
6,126184152,What is the Guardian?,done
7,126184153,No,done
8,126184154,I want to change the topic,done
9,126184155,Yes,done
10,126184156,New conversation,done
11,126184157,Music,done
12,126184158,Enriching,done
13,126184159,to walk,done
14,126184160,Yes,done
15,126184161,New conversation,done
16,126184162,History,done
17,126184163,Querying,done
18,126184164,When did World War 2 happen?,done
19,126184165,No,done
20,126184166,Where is Rome located?,done
21,126184167,No,done
22,126184168,What is the capital of France?,done
23,126184169,No,done
24,126184170,What is the capital of Germany?,done
25,126184171,No,done
26,126184172,What is the purpose of a car?,done
27,126184173,No,done
